score,b1,b2,b3,b4,b5,b6,b7,b8,b9,p1,p2,s1,s2
-1,0.020000000000000018,-0.068,0.069,-0.01599999999999996,-0.012999999999999956,-0.035999999999999976,-0.05699999999999997,-0.03899999999999998,-0.133,-0.9500000000000002,0.11999999999999922,0,0
-6,0.264,0.08099999999999999,-0.01899999999999996,-0.06,0.059,0.06,0.00899999999999998,-0.10299999999999998,-0.338,0.6499999999999999,0.3600000000000003,0,0
-9,-0.059,-0.15200000000000002,-0.1,-0.148,-0.09000000000000002,-0.04199999999999998,0.007999999999999952,-0.006000000000000005,-0.065,2.74,0.4900000000000002,0,1
-1,0.01799999999999996,-0.07599999999999996,0.07700000000000001,-0.0030000000000000027,0.12,0.03400000000000003,0.057999999999999996,-0.013000000000000012,0.166,-1.15,-0.9700000000000002,0,0
1,-0.043999999999999984,-0.0030000000000000027,0.03900000000000001,-0.14100000000000001,0.08400000000000002,0.0,0.088,-0.013999999999999985,0.08100000000000002,0.8500000000000001,1.33,0,0
-1,-0.013000000000000012,-0.017000000000000015,-0.03699999999999998,-0.197,0.05400000000000005,-0.006000000000000005,0.333,0.10400000000000001,-0.07800000000000001,2.99,0.1900000000000004,0,0
-1,-0.07200000000000001,-0.007999999999999952,0.16899999999999998,0.0050000000000000044,0.087,0.176,-0.122,0.05099999999999999,-0.269,2.12,0.3799999999999999,0,1
6,-0.03999999999999998,0.0,0.01100000000000001,-0.068,0.03300000000000003,-0.14100000000000001,-0.033999999999999975,-0.08800000000000002,-0.22199999999999998,-3.59,0.27000000000000046,0,1
13,-0.04600000000000004,-0.04700000000000004,0.14400000000000002,0.014000000000000012,-0.025999999999999995,0.07099999999999995,0.07799999999999999,-0.25,0.153,-7.45,-1.4100000000000006,0,0
-6,-0.05099999999999999,0.0,-0.07600000000000001,-0.061,0.15700000000000003,-0.062,-0.037000000000000005,0.017000000000000015,-0.007999999999999952,5.83,1.4899999999999993,1,0
4,-0.06200000000000003,-0.08299999999999996,-0.03899999999999998,-0.02899999999999997,0.10999999999999999,0.039000000000000035,-0.013000000000000012,0.08100000000000002,-0.13799999999999998,-1.29,0.019999999999999574,0,1
8,0.118,0.008000000000000007,-0.067,-0.0040000000000000036,0.03600000000000003,0.03199999999999997,-0.05199999999999999,0.061,0.0040000000000000036,-6.640000000000001,0.10999999999999943,0,1
-1,0.07399999999999995,-0.14700000000000002,0.0,-0.03999999999999998,0.031000000000000028,-0.049000000000000016,-0.037000000000000005,-0.07100000000000001,-0.006000000000000005,5.130000000000001,0.30000000000000027,0,0
1,-0.039000000000000035,-0.028000000000000025,0.025000000000000022,0.062,0.11200000000000002,0.05799999999999997,-0.025999999999999995,0.069,-0.368,-3.65,-1.4199999999999995,0,0
-15,-0.007000000000000006,-0.05399999999999999,-0.07600000000000001,0.062,-0.069,0.07700000000000001,0.03899999999999998,0.061,-0.296,12.07,1.8900000000000006,0,0
-2,0.06,-0.013000000000000012,-0.049000000000000044,0.03999999999999998,-0.07700000000000001,-0.19499999999999998,0.171,-0.055999999999999994,0.02400000000000002,0.16999999999999993,-0.41999999999999993,0,0
12,-0.03500000000000003,0.124,-0.122,0.07200000000000001,0.023999999999999966,0.08300000000000002,0.26,-0.04299999999999998,-0.05399999999999999,-4.86,-0.05999999999999961,0,0
-2,-0.06,0.008000000000000007,0.007000000000000006,0.03700000000000003,-0.013000000000000012,-0.035999999999999976,-0.124,-0.05299999999999999,0.333,1.9200000000000004,1.6899999999999995,0,0
2,0.061,0.134,0.013000000000000012,0.10199999999999998,0.013000000000000012,0.10599999999999998,0.068,-0.064,0.069,-4.720000000000001,-0.09999999999999964,0,0
5,-0.126,0.068,0.07700000000000001,-0.125,0.035999999999999976,0.008000000000000007,0.030000000000000027,-0.02200000000000002,-0.009999999999999981,-1.0700000000000003,-2.26,0,0
-3,0.030999999999999972,0.020000000000000018,0.032999999999999974,0.04299999999999998,-0.07400000000000001,0.06,-0.12,-0.007000000000000006,-0.34,2.63,-0.31000000000000005,0,0
2,0.063,0.10200000000000004,-0.006000000000000005,0.044999999999999984,0.026000000000000023,0.11499999999999999,0.07300000000000001,0.09499999999999997,0.07399999999999998,4.290000000000001,-0.10999999999999943,0,0
-2,0.25,0.009000000000000008,0.029000000000000026,0.008000000000000007,-0.066,-0.11100000000000002,-0.124,-0.05099999999999999,0.0040000000000000036,-0.6600000000000001,1.6899999999999995,0,1
-8,0.08900000000000002,0.10300000000000004,0.09299999999999997,-0.01200000000000001,0.07500000000000001,0.055999999999999994,-0.02100000000000002,0.020000000000000018,0.05199999999999999,2.49,0.15999999999999925,0,0
-11,-0.046999999999999986,0.08800000000000002,-0.01200000000000001,-0.14600000000000002,-0.01999999999999999,0.03999999999999998,-0.121,0.06400000000000003,0.01200000000000001,-0.33999999999999986,-2.13,0,0
-2,0.045999999999999985,-0.07400000000000001,0.09300000000000003,-0.064,0.08100000000000002,-0.12200000000000003,0.0050000000000000044,-0.06,-0.029000000000000026,2.76,-0.33000000000000007,0,0
-10,0.063,0.16800000000000004,-0.006000000000000005,0.04299999999999998,-0.03300000000000003,0.067,0.008000000000000007,0.16499999999999998,0.21699999999999997,2.69,0.21999999999999975,0,0
-6,-0.0030000000000000027,-0.006000000000000005,-0.12700000000000003,0.014000000000000012,0.03200000000000003,0.05299999999999999,-0.04999999999999999,-0.05399999999999999,0.11599999999999999,1.29,1.8199999999999998,0,1
0,0.065,0.09099999999999997,0.02799999999999997,0.049000000000000044,0.01899999999999996,0.125,0.014000000000000012,-0.016000000000000014,-0.066,2.17,0.15999999999999925,0,0
10,0.046999999999999986,0.03799999999999998,0.03199999999999997,0.05100000000000002,0.03699999999999998,-0.04200000000000001,-0.11399999999999999,0.07399999999999998,0.02400000000000002,-1.85,-2.2999999999999994,0,0
5,-0.136,-0.013000000000000012,0.11199999999999999,0.03999999999999998,0.08300000000000002,0.009000000000000008,0.142,0.059,0.04899999999999999,-5.710000000000001,-0.96,1,0
-3,-0.008000000000000007,0.118,0.03199999999999997,-0.067,-0.07900000000000001,0.129,0.02899999999999997,0.03400000000000003,0.06800000000000003,5.18,-0.22999999999999954,1,0
-5,-0.07200000000000001,-0.04999999999999999,-0.022999999999999965,-0.11400000000000002,0.154,-0.05299999999999999,0.02200000000000002,-0.07499999999999998,0.08099999999999999,1.7200000000000002,3.5399999999999996,0,1
-7,0.0050000000000000044,0.014000000000000012,0.11599999999999999,-0.11300000000000004,-0.06,0.018000000000000016,0.041000000000000036,0.07900000000000001,0.06499999999999997,0.8300000000000001,0.8800000000000003,0,0
6,0.04899999999999999,-0.13699999999999998,0.059,0.064,-0.06,0.024999999999999967,0.066,0.0010000000000000009,0.038000000000000006,-4.74,-0.20000000000000018,0,0
3,0.039000000000000035,0.05099999999999999,-0.08099999999999996,0.22600000000000003,-0.07099999999999995,-0.035999999999999976,-0.02899999999999997,-0.030000000000000027,0.07600000000000001,-2.26,-0.8800000000000003,0,0
-2,-0.014000000000000012,0.01100000000000001,0.027000000000000024,0.08299999999999996,0.04200000000000001,0.017999999999999988,0.03699999999999998,-0.0040000000000000036,0.07800000000000001,-6.07,-0.1900000000000004,0,0
-3,0.010000000000000009,-0.07,-0.11600000000000002,-0.044999999999999984,-0.030000000000000027,-0.056999999999999995,0.15899999999999997,-0.10400000000000001,-0.05099999999999999,2.02,3.5799999999999996,0,1
1,0.055999999999999994,-0.10100000000000003,-0.19,-0.01100000000000001,0.064,-0.04999999999999999,0.225,0.026000000000000023,0.09399999999999997,1.3,0.8099999999999996,0,0
7,0.09300000000000003,0.204,-0.0030000000000000027,0.07799999999999996,-0.09699999999999998,0.0020000000000000018,0.065,0.01200000000000001,-0.046999999999999986,-1.9900000000000002,-0.3200000000000003,0,0
-1,0.04100000000000001,-0.08199999999999996,0.02400000000000002,0.07899999999999996,0.011999999999999955,-0.09099999999999997,0.07399999999999998,-0.08199999999999996,0.035999999999999976,0.52,-0.8300000000000001,0,0
-2,-0.0030000000000000027,0.050000000000000044,0.029000000000000026,-0.069,0.019999999999999962,0.020999999999999963,0.22,-0.164,-0.11100000000000002,-0.8300000000000001,-1.71,1,0
6,0.031,-0.043999999999999984,-0.182,-0.09899999999999998,-0.06099999999999997,-0.02100000000000002,-0.010999999999999954,0.03600000000000003,0.02799999999999997,2.44,0.47999999999999954,0,0
-3,-0.10799999999999998,-0.09800000000000003,-0.0009999999999999454,0.008000000000000007,-0.010000000000000009,0.243,0.05499999999999999,-0.009000000000000008,-0.10300000000000001,-0.6000000000000001,0.6000000000000005,0,0
3,0.035999999999999976,0.034,-0.13199999999999998,-0.009000000000000008,-0.0050000000000000044,0.051000000000000045,-0.09599999999999997,-0.018000000000000016,-0.11499999999999999,-2.17,1.54,0,0
-10,0.04199999999999998,0.032999999999999974,-0.019000000000000017,0.0,-0.0050000000000000044,0.051000000000000045,-0.12100000000000005,-0.06,-0.197,3.33,-1.46,0,0
-2,-0.065,-0.04299999999999998,0.013999999999999957,0.018000000000000016,-0.11399999999999999,0.01200000000000001,-0.04400000000000004,0.11000000000000001,-0.010000000000000009,1.0099999999999998,0.5200000000000005,0,0
3,-0.09099999999999997,-0.007000000000000006,0.13699999999999998,-0.01699999999999996,0.187,0.020000000000000018,0.057999999999999996,0.046999999999999986,-0.04400000000000001,-0.9900000000000002,0.48,0,0
-5,-0.04200000000000004,0.12,-0.05199999999999999,0.0010000000000000009,-0.019999999999999962,0.01799999999999996,-0.028000000000000025,-0.013000000000000012,0.07500000000000001,-3.6100000000000003,-0.43999999999999995,0,0
-1,0.04899999999999999,0.04799999999999999,-0.08899999999999997,-0.016999999999999987,-0.01699999999999996,0.01899999999999999,-0.03500000000000003,-0.12,-0.064,9.559999999999999,1.5200000000000005,0,0
3,0.01699999999999996,-0.019000000000000017,0.0040000000000000036,-0.06699999999999998,-0.09699999999999998,0.065,0.016000000000000014,0.159,-0.009000000000000008,-3.4800000000000004,-1.5299999999999998,0,1
1,0.12699999999999997,0.0,-0.025000000000000022,-0.09699999999999998,0.04999999999999999,-0.122,0.009000000000000008,0.033,-0.046999999999999986,0.010000000000000231,0.47000000000000064,0,0
5,-0.05299999999999999,-0.18,-0.02799999999999997,0.03900000000000001,-0.10300000000000001,0.08399999999999999,0.10199999999999998,0.06,-0.06899999999999998,-4.4799999999999995,0.4299999999999997,0,0
-14,0.0010000000000000009,-0.068,-0.06,-0.04899999999999999,-0.12000000000000002,0.10899999999999999,0.031000000000000028,-0.07500000000000001,0.019999999999999962,3.21,-0.03000000000000025,0,1
-1,-0.08499999999999996,-0.08299999999999996,0.0030000000000000027,-0.059,0.031,0.326,-0.08100000000000002,-0.06,-0.243,4.98,1.4900000000000002,0,0
1,0.04999999999999999,0.11399999999999999,0.04700000000000004,0.01200000000000001,-0.15900000000000003,-0.049000000000000016,-0.121,-0.008000000000000007,0.04999999999999999,0.7999999999999998,0.1200000000000001,0,0
6,0.061,0.056999999999999995,-0.07600000000000001,0.022999999999999993,0.006000000000000005,-0.05300000000000002,0.21,0.063,0.010999999999999954,2.4,-0.29000000000000004,0,0
1,-0.022999999999999965,0.022999999999999965,-0.055999999999999994,-0.065,-0.04799999999999999,0.056999999999999995,0.13899999999999998,-0.06899999999999998,0.135,3.1300000000000003,1.1300000000000003,0,0
-1,0.05800000000000005,-0.03699999999999998,0.063,0.012999999999999956,0.07100000000000001,-0.044999999999999984,0.019999999999999962,-0.154,0.006000000000000005,-4.3100000000000005,0.33000000000000007,1,0
-6,-0.020000000000000018,-0.04799999999999999,-0.01100000000000001,0.013000000000000012,-0.015000000000000013,0.049000000000000016,-0.04200000000000001,0.01699999999999996,-0.010999999999999982,2.8299999999999996,-1.42,0,0
